"";"TournamentName";"TournamentStart";"TournamentEnd";"maxParticipants";"TournamentCountry";"TournamentPostalCode";"TournamentCity";"TournamentStreet";"TournamentPlace";"Rank";"TeamName";"TeamCountry";"TeamCity";"nParticipants";"TournamentID";"TournamentLongitude";"TournamentLatitude";"nParticipations";"TeamID";"TeamLongitude";"TeamLatitude"
"2509";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";1;"Zonenkinder";"Deutschland";"Jena";22;185;11,5836561;50,9180893;82;472;11,5879359;50,9281717
"2510";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";2;"Rigor Mortis";"Deutschland";"Berlin";22;185;11,5836561;50,9180893;59;359;13,3888599;52,5170365
"2511";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";3;"TackleTiger";"Deutschland";"Karlsruhe";22;185;11,5836561;50,9180893;26;410;7,2931076;51,1525383
"2512";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";4;"Jugglers Jugg";"Deutschland";"Halle Saale";22;185;11,5836561;50,9180893;27;224;11,9705452;51,4825041
"2513";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";5;"GrÃÂ¼nanlagen Guerilla";"Deutschland";"Berlin";22;185;11,5836561;50,9180893;29;160;13,3888599;52,5170365
"2514";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";6;"Jugger-Haufen-Bochum";"Deutschland";"Bochum";22;185;11,5836561;50,9180893;42;202;7,1401155;51,4716282
"2515";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";7;"Pink Pain";"Deutschland";"Darmstadt";22;185;11,5836561;50,9180893;68;333;8,651177;49,872775
"2516";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";8;"Anima Equorum";"Deutschland";"Halle Saale";22;185;11,5836561;50,9180893;11;17;11,9705452;51,4825041
"2517";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";9;"Bob Jugger";"Deutschland";"Karlsruhe";22;185;11,5836561;50,9180893;7;47;7,2931076;51,1525383
"2518";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";10;"Amazonenkinder";"Deutschland";"Jena";22;185;11,5836561;50,9180893;34;12;11,5879359;50,9281717
"2519";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";11;"Living Undeads";"Deutschland";"Hannover";22;185;11,5836561;50,9180893;52;271;9,7385532;52,3744779
"2520";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";12;"Falco jugger";"Deutschland";"Berlin";22;185;11,5836561;50,9180893;53;112;13,3888599;52,5170365
"2521";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";13;"Torpedo Kopflos";"Deutschland";"Hamburg";22;185;11,5836561;50,9180893;6;435;10,000654;53,550341
"2522";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";14;"Skull!";"Deutschland";"Berlin";22;185;11,5836561;50,9180893;36;393;13,3888599;52,5170365
"2523";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";15;"Leipziger Nachtwache";"Deutschland";"Leipzig";22;185;11,5836561;50,9180893;23;268;12,3810549;51,3391827
"2524";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";16;"Die Leere Menge";"Deutschland";"Greifswald";22;185;11,5836561;50,9180893;44;88;13,3815238;54,095791
"2525";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";17;"Jugglers Jugg Academy";"Deutschland";"Halle Saale";22;185;11,5836561;50,9180893;7;225;11,9705452;51,4825041
"2526";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";18;"Zonenzwerge";"Deutschland";"Jena";22;185;11,5836561;50,9180893;10;474;11,5879359;50,9281717
"2527";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";19;"Nordische Sport Amatuere (NSA)";"Deutschland";"Flensburg";22;185;11,5836561;50,9180893;12;311;9,4333264;54,7833021
"2528";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";20;"Knautschzonenkinder";"Deutschland";"Jena";22;185;11,5836561;50,9180893;12;256;11,5879359;50,9281717
"2529";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";21;"Sonnenwende";"Deutschland";"Berlin";22;185;11,5836561;50,9180893;37;394;13,3888599;52,5170365
"2530";"9. ThÃÂ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;24;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";22;"Jugguars";"Deutschland";"Coswig";22;185;11,5836561;50,9180893;4;236;13,5783983;51,1267305
"2531";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";1;"HaWu AllstarZ";"Deutschland";"Gevelsberg";13;186;7,4795869;51,367939;13;171;7,3401575;51,3213173
"2532";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";2;"Rotenburg Mix";"Deutschland";"Rotenburg a. d. Fulda";13;186;7,4795869;51,367939;1;369;9,7269936;50,9948584
"2533";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";3;"Pompfritz";"Deutschland";"Wuppertal";13;186;7,4795869;51,367939;30;340;7,1780374;51,264018
"2534";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";4;"Schergen von Monasteria";"Deutschland";"MÃ¼nster";13;186;7,4795869;51,367939;34;378;7,6251879;51,9625101
"2535";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";5;"Lahnveilchen GieÃÂen";"Deutschland";"GieÃen";13;186;7,4795869;51,367939;26;262;8,6742306;50,5862066
"2536";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";6;"Jugger-Haufen-Bochum";"Deutschland";"Bochum";13;186;7,4795869;51,367939;42;202;7,1401155;51,4716282
"2537";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";7;"Flying JUGGmen Bonn";"Deutschland";"Bonn";13;186;7,4795869;51,367939;31;129;7,10066;50,735851
"2538";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";8;"Jugger Helden Bamberg";"Deutschland";"Bamberg";13;186;7,4795869;51,367939;22;205;10,8876149;49,8926723
"2539";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";9;"Hobbiz";"Deutschland";"Heidelberg";13;186;7,4795869;51,367939;54;175;8,694724;49,4093582
"2540";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";10;"Cervisia Ultima";"Deutschland";"Duisburg";13;186;7,4795869;51,367939;35;53;6,759562;51,434999
"2541";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";11;"Jugg - the Ripper";"Deutschland";"Hagen";13;186;7,4795869;51,367939;16;235;7,4727227;51,357862
"2542";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";12;"Juggpot";"Deutschland";"Fulda";13;186;7,4795869;51,367939;3;232;9,676511;50,5521486
"2543";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;16;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";13;"Jugger Ahaus";"Deutschland";"Ahaus";13;186;7,4795869;51,367939;6;196;7,0068588;52,0759056
"2544";"4. Turnier zu MÃÂ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;12;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";1;"HaWu AllstarZ";"Deutschland";"Gevelsberg";12;187;7,6688443;51,9068543;13;171;7,3401575;51,3213173
"2545";"4. Turnier zu MÃÂ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;12;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";2;"PaderBears";"Deutschland";"Paderborn";12;187;7,6688443;51,9068543;28;320;8,76486977817756;51,71895955
"2546";"4. Turnier zu MÃÂ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;12;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";3;"Flying JUGGmen Bonn";"Deutschland";"Bonn";12;187;7,6688443;51,9068543;31;129;7,10066;50,735851
"2547";"4. Turnier zu MÃÂ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;12;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";4;"Schergen von Monasteria";"Deutschland";"MÃ¼nster";12;187;7,6688443;51,9068543;34;378;7,6251879;51,9625101
"2548";"4. Turnier zu MÃÂ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;12;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";5;"Jugger-Haufen-Bochum";"Deutschland";"Bochum";12;187;7,6688443;51,9068543;42;202;7,1401155;51,4716282
"2549";"4. Turnier zu MÃÂ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;12;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";6;"Pompfritz";"Deutschland";"Wuppertal";12;187;7,6688443;51,9068543;30;340;7,1780374;51,264018
"2550";"4. Turnier zu MÃÂ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;12;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";7;"Jugg - the Ripper";"Deutschland";"Hagen";12;187;7,6688443;51,9068543;16;235;7,4727227;51,357862
"2551";"4. Turnier zu MÃÂ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;12;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";8;"ChaOS";"Deutschland";"OsnabrÃ¼ck";12;187;7,6688443;51,9068543;3;54;8,049741;52,266837
"2552";"4. Turnier zu MÃÂ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;12;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";9;"Keiler";"Deutschland";"Oldenburg";12;187;7,6688443;51,9068543;22;245;8,2146017;53,1389753
"2553";"4. Turnier zu MÃÂ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;12;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";10;"Dropkick Cologne";"Deutschland";"KÃ¶ln";12;187;7,6688443;51,9068543;4;102;6,959974;50,938361
"2554";"4. Turnier zu MÃÂ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;12;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";11;"Jugger Ahaus";"Deutschland";"Ahaus";12;187;7,6688443;51,9068543;6;196;7,0068588;52,0759056
"2555";"4. Turnier zu MÃÂ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;12;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";12;"Jugg Tales";"Deutschland";"Winsen (Aller)";12;187;7,6688443;51,9068543;2;234;9,9101449;52,6796244
"2556";"Respect Gaymes 2016";2016-07-02 10:00:00;2016-07-02 18:30:00;10;"Deutschland";"10437";"Berlin";"CantianstraÃe 24";"Friedrich-Ludwig-Jahn-Sportpark";1;"Rigor Mortis";"Deutschland";"Berlin";7;188;13,4107017;52,5443748;59;359;13,3888599;52,5170365
"2557";"Respect Gaymes 2016";2016-07-02 10:00:00;2016-07-02 18:30:00;10;"Deutschland";"10437";"Berlin";"CantianstraÃe 24";"Friedrich-Ludwig-Jahn-Sportpark";2;"Falco jugger";"Deutschland";"Berlin";7;188;13,4107017;52,5443748;53;112;13,3888599;52,5170365
"2558";"Respect Gaymes 2016";2016-07-02 10:00:00;2016-07-02 18:30:00;10;"Deutschland";"10437";"Berlin";"CantianstraÃe 24";"Friedrich-Ludwig-Jahn-Sportpark";3;"Zonenkinder";"Deutschland";"Jena";7;188;13,4107017;52,5443748;82;472;11,5879359;50,9281717
"2559";"Respect Gaymes 2016";2016-07-02 10:00:00;2016-07-02 18:30:00;10;"Deutschland";"10437";"Berlin";"CantianstraÃe 24";"Friedrich-Ludwig-Jahn-Sportpark";4;"Skull!";"Deutschland";"Berlin";7;188;13,4107017;52,5443748;36;393;13,3888599;52,5170365
"2560";"Respect Gaymes 2016";2016-07-02 10:00:00;2016-07-02 18:30:00;10;"Deutschland";"10437";"Berlin";"CantianstraÃe 24";"Friedrich-Ludwig-Jahn-Sportpark";5;"Blue Fangs";"Deutschland";"Frankfurt (Oder)";7;188;13,4107017;52,5443748;6;45;14,549452;52,3412273
"2561";"Respect Gaymes 2016";2016-07-02 10:00:00;2016-07-02 18:30:00;10;"Deutschland";"10437";"Berlin";"CantianstraÃe 24";"Friedrich-Ludwig-Jahn-Sportpark";6;"Leipziger Nachtwache";"Deutschland";"Leipzig";7;188;13,4107017;52,5443748;23;268;12,3810549;51,3391827
"2562";"Respect Gaymes 2016";2016-07-02 10:00:00;2016-07-02 18:30:00;10;"Deutschland";"10437";"Berlin";"CantianstraÃe 24";"Friedrich-Ludwig-Jahn-Sportpark";7;"White Paws";"Deutschland";"Frankfurt (Oder)";7;188;13,4107017;52,5443748;1;459;14,549452;52,3412273
"2563";"2. Leipziger JuggernÃÂ¤chte";2016-07-08 18:00:00;2016-07-10 17:00:00;16;"Deutschland";"04279";"Leipzig";"Goethesteig 2";"Leipzig";1;"Rigor Mortis";"Deutschland";"Berlin";15;189;12,3866982;51,2896989;59;359;13,3888599;52,5170365
"2564";"4. Bergische Meisterschaft";2016-07-08 18:00:00;2016-07-10 16:00:00;20;"Deutschland";"42285";"Wuppertal";"Oberbergische Strasse 91";"Wuppertal";1;"Zonenkinder";"Deutschland";"Jena";20;190;7,17908785;51,2523273;82;472;11,5879359;50,9281717
"2565";"4. Bergische Meisterschaft";2016-07-08 18:00:00;2016-07-10 16:00:00;20;"Deutschland";"42285";"Wuppertal";"Oberbergische Strasse 91";"Wuppertal";2;"Jugger-Haufen-Bochum";"Deutschland";"Bochum";20;190;7,17908785;51,2523273;42;202;7,1401155;51,4716282
"2566";"2. Leipziger JuggernÃÂ¤chte";2016-07-08 18:00:00;2016-07-10 17:00:00;16;"Deutschland";"04279";"Leipzig";"Goethesteig 2";"Leipzig";2;"Zonenkinder";"Deutschland";"Jena";15;189;12,3866982;51,2896989;82;472;11,5879359;50,9281717
"2567";"2. Leipziger JuggernÃÂ¤chte";2016-07-08 18:00:00;2016-07-10 17:00:00;16;"Deutschland";"04279";"Leipzig";"Goethesteig 2";"Leipzig";3;"Jugglers Jugg";"Deutschland";"Halle Saale";15;189;12,3866982;51,2896989;27;224;11,9705452;51,4825041
"2568";"4. Bergische Meisterschaft";2016-07-08 18:00:00;2016-07-10 16:00:00;20;"Deutschland";"42285";"Wuppertal";"Oberbergische Strasse 91";"Wuppertal";3;"PaderBears";"Deutschland";"Paderborn";20;190;7,17908785;51,2523273;28;320;8,76486977817756;51,71895955
"2569";"4. Bergische Meisterschaft";2016-07-08 18:00:00;2016-07-10 16:00:00;20;"Deutschland";"42285";"Wuppertal";"Oberbergische Strasse 91";"Wuppertal";4;"HaWu AllstarZ";"Deutschland";"Gevelsberg";20;190;7,17908785;51,2523273;13;171;7,3401575;51,3213173
"2570";"2. Leipziger JuggernÃÂ¤chte";2016-07-08 18:00:00;2016-07-10 17:00:00;16;"Deutschland";"04279";"Leipzig";"Goethesteig 2";"Leipzig";4;"Anima Equorum";"Deutschland";"Halle Saale";15;189;12,3866982;51,2896989;11;17;11,9705452;51,4825041
"2571";"2. Leipziger JuggernÃÂ¤chte";2016-07-08 18:00:00;2016-07-10 17:00:00;16;"Deutschland";"04279";"Leipzig";"Goethesteig 2";"Leipzig";5;"GrÃÂ¼nanlagen Guerilla";"Deutschland";"Berlin";15;189;12,3866982;51,2896989;29;160;13,3888599;52,5170365
"2572";"4. Bergische Meisterschaft";2016-07-08 18:00:00;2016-07-10 16:00:00;20;"Deutschland";"42285";"Wuppertal";"Oberbergische Strasse 91";"Wuppertal";5;"TackleTiger";"Deutschland";"Karlsruhe";20;190;7,17908785;51,2523273;26;410;7,2931076;51,1525383
"2573";"4. Bergische Meisterschaft";2016-07-08 18:00:00;2016-07-10 16:00:00;20;"Deutschland";"42285";"Wuppertal";"Oberbergische Strasse 91";"Wuppertal";6;"Flying JUGGmen Bonn";"Deutschland";"Bonn";20;190;7,17908785;51,2523273;31;129;7,10066;50,735851
"2574";"2. Leipziger JuggernÃÂ¤chte";2016-07-08 18:00:00;2016-07-10 17:00:00;16;"Deutschland";"04279";"Leipzig";"Goethesteig 2";"Leipzig";6;"Falco jugger";"Deutschland";"Berlin";15;189;12,3866982;51,2896989;53;112;13,3888599;52,5170365
"2575";"2. Leipziger JuggernÃÂ¤chte";2016-07-08 18:00:00;2016-07-10 17:00:00;16;"Deutschland";"04279";"Leipzig";"Goethesteig 2";"Leipzig";7;"Juggernauts";"Deutschland";"NÃ¼rnberg";15;189;12,3866982;51,2896989;40;214;12,9118642;48,3619187
"2576";"4. Bergische Meisterschaft";2016-07-08 18:00:00;2016-07-10 16:00:00;20;"Deutschland";"42285";"Wuppertal";"Oberbergische Strasse 91";"Wuppertal";7;"Mainzer Marodeure";"Deutschland";"Mainz";20;190;7,17908785;51,2523273;33;281;8,2710237;49,9999952
"2577";"4. Bergische Meisterschaft";2016-07-08 18:00:00;2016-07-10 16:00:00;20;"Deutschland";"42285";"Wuppertal";"Oberbergische Strasse 91";"Wuppertal";8;"Lahnveilchen GieÃÂen";"Deutschland";"GieÃen";20;190;7,17908785;51,2523273;26;262;8,6742306;50,5862066
"2578";"2. Leipziger JuggernÃÂ¤chte";2016-07-08 18:00:00;2016-07-10 17:00:00;16;"Deutschland";"04279";"Leipzig";"Goethesteig 2";"Leipzig";8;"Jugger Helden Bamberg";"Deutschland";"Bamberg";15;189;12,3866982;51,2896989;22;205;10,8876149;49,8926723
"2579";"2. Leipziger JuggernÃÂ¤chte";2016-07-08 18:00:00;2016-07-10 17:00:00;16;"Deutschland";"04279";"Leipzig";"Goethesteig 2";"Leipzig";9;"Leipziger Nachtwache";"Deutschland";"Leipzig";15;189;12,3866982;51,2896989;23;268;12,3810549;51,3391827
"2580";"4. Bergische Meisterschaft";2016-07-08 18:00:00;2016-07-10 16:00:00;20;"Deutschland";"42285";"Wuppertal";"Oberbergische Strasse 91";"Wuppertal";9;"Pompfritz";"Deutschland";"Wuppertal";20;190;7,17908785;51,2523273;30;340;7,1780374;51,264018
