"";"TournamentName";"TournamentStart";"TournamentEnd";"TournamentCountry";"TournamentPostalCode";"TournamentCity";"TournamentStreet";"TournamentPlace";"maxParticipants";"nParticipants";"TournamentID";"TournamentLongitude";"TournamentLatitude"
"21";"2. NRW Turnier";2010-04-03 11:00:00;2010-04-03 18:00:00;"Deutschland";"59555";"Lippstadt";"Udener Str.";"Lippstadt";0;6;21;8,3337762;51,6721709
"22";"4. Berliner Juggerpokal";2010-04-24 11:00:00;2010-04-25 16:00:00;"Deutschland";"12049";"Berlin";"Danziger StraÃe";"Volkspark Friedrichshain";0;8;22;13,4446174;52,5294363
"23";"8. Badische Meisterschaft";2010-05-15 10:00:00;2010-05-15 20:00:00;"Deutschland";"79110";"Freiburg";"Falkenbergerstr 21";"Bolzplatz bei Ãkostation";0;4;23;7,8238526;48,0138942
"24";"6. SaarlÃ¤ndische Meisterschaft";2010-05-29 11:00:00;2010-05-30 16:00:00;"Deutschland";"66424";"Homburg";"BrunnenstraÃe";"Stadtpark (voraussichtlich)";16;8;24;7,3505486;49,327499
"25";"2. School's Out der OGS";2010-06-12 10:00:00;2010-06-12 17:00:00;"Deutschland";"24589";"Nortorf";"Marienburger StraÃe 47-49";"SportgelÃ¤nde der OGS";0;5;25;9,8450968;54,166312
"26";"11. Bayerische Meisterschaft";2010-06-12 12:00:00;2010-06-13 12:00:00;"Deutschland";"92726";"Waidhaus";"An der Bahn 2";"SportgelÃ¤nde des TSV Waidhaus";20;5;26;12,4967105;49,6400456
"27";"1. Ligaturnier zu Oldenburg";2010-06-19 10:00:00;2010-06-20 18:00:00;"Deutschland";"21339";"LÃ¼neburg";"Bessemer Str";"LÃ¼neburg";28;18;27;10,4125944;53,2698993
"28";"5. Schleswig-Holstein Meisterschaft";2010-07-03 11:00:00;2010-07-03 17:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";8;5;28;10,4401006536605;53,78423965
"29";"3. WestfÃ¤lische Meisterschaft";2010-07-10 10:00:00;2010-07-11 16:00:00;"Deutschland";"59555";"Lippstadt";"Udener Str.";"Lippstadt";0;16;29;8,3337762;51,6721709
"30";"2. Hessische Meisterschaft";2010-07-24 09:00:00;2010-07-24 17:00:00;"Deutschland";"";"Darmstadt";"Unigel?nde Lichtwiese";"Messfeld bei der Sickergrube";0;8;30;NA;NA
"31";"1. SchwÃ¤bische Meisterschaft";2010-08-14 10:00:00;2010-08-15 12:00:00;"Deutschland";"86153";"Augsburg";"RemboldstraÃe";"Kulturpark Rotes Tor";15;2;31;10,9055508;48,3605067
"32";"1. Turnier zu MÃ¼nster";2010-08-14 10:00:00;2010-08-15 12:00:00;"Deutschland";"48161";"MÃ¼nster";"Feldstiege 45";"Sportplatz des DJK SC Nienberge";12;7;32;7,54896636976026;51,99945965
"33";"16. Hamburger Meisterschaft";2010-08-21 10:00:00;2010-08-22 18:00:00;"Deutschland";"22303";"Hamburg";"SaarlandstraÃe";"Stadtpark / GelÃ¤nde Rugby St. Pauli";24;20;33;10,0316818;53,5957328
"34";"3. ThÃ¼ringer Meisterschaft";2010-08-28 10:00:00;2010-08-29 17:00:00;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";0;6;34;11,5836561;50,9180893
"35";"13. Deutsche Meisterschaft";2010-09-10 11:00:00;2010-09-12 14:00:00;"Deutschland";"1000";"Berlin";"CantianstraÃe 24 / GaudystraÃe";"Ludwig-Jahn-Sportpark";0;24;35;NA;NA
"36";"6. Moshen im Park";2010-10-09 10:00:00;2010-10-09 18:00:00;"Deutschland";"23843";"Bad Oldesloe";"Kreuzung Kurparkallee / SÃ¼lzberg";"Liegewiese bei den TennisplÃ¤tzen";5;3;36;NA;NA
"37";"2. SÃ¼ddeutschland Turnier";2010-10-16 10:00:00;2010-10-16 20:00:00;"Deutschland";"86150";"Augsburg";"GÃ¶ggingerstraÃe 10";"Wittelsbacher Park";0;6;37;10,8871164559423;48,35933445
