"";"TournamentName";"TournamentStart";"TournamentEnd";"TournamentCountry";"TournamentPostalCode";"TournamentCity";"TournamentStreet";"TournamentPlace";"maxParticipants";"nParticipants";"TournamentID";"TournamentLongitude";"TournamentLatitude"
"127";"17. Deutsche Meisterschaft";2014-09-13 10:00:00;2014-09-14 15:00:00;"Deutschland";"78050";"Villingen";"Im Friedengrund 2";"Villingen";80;64;127;8,43247565;48,0575478
"128";"1. Bamberger Jugger Turnier - Voll abgepompft";2014-10-04 08:00:00;2014-10-04 20:00:00;"Deutschland";"96049";"Bamberg";"Galgenfuhr 1";"Bamberg";10;10;128;10,9131316;49,8829392
"129";"OJL Finals / Freiburg Cup";2014-10-11 09:30:00;2014-10-11 18:00:00;"Deutschland";"79110";"Freiburg";"FalkenbergerstraÃe 21";"Bolzplatz bei Ãkostation";10;8;129;7,8238526;48,0138942
"130";"3. GÃ¶ttinger Winterturnier";2015-02-28 09:30:00;2015-02-28 19:30:00;"Deutschland";"37073";"GÃ¶ttingen";"Theaterplatz 10";"Sporthalle des Max-Planck Gymnasiums";9;9;130;9,9408013;51,5363581
"131";"1. Karlsruher PÃ¶mmelturnier";2015-04-18 09:00:00;2015-04-18 18:00:00;"Deutschland";"76133";"Karlsruhe";"LÃ¤rchenallee";"Asta-Sportplatz Koordinaten: 49.016388, 8.410824";12;12;131;8,4182643;49,0192045
"132";"2. Kieler Nordderby";2015-04-18 10:00:00;2015-04-19 17:00:00;"Deutschland";"24143";"Kiel";"RÃ¶ntgenstraÃe 5";"Sportplatz des TUS Gaarden";16;16;132;10,1518678970631;54,3083559
"133";"Rotenburger Stadtklopperei -Jugendturnier-";2015-04-19 09:00:00;2015-04-19 19:00:00;"Deutschland";"36199";"Rotenburg a. d. Fulda";"Breitinger Kirchweg 16";"Rotenburg a. d. Fulda";8;4;133;9,7409885;50,9931968
"134";"9. Berliner Juggerpokal -Jugendturnier-";2015-04-25 09:00:00;2015-04-26 17:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";12;8;134;13,4027557;52,4729578
"135";"9. Berliner Juggerpokal -Kinderturnier-";2015-04-25 09:00:00;2015-04-26 17:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";8;5;135;13,4027557;52,4729578
"136";"9. Berliner Juggerpokal";2015-04-25 10:00:00;2015-04-26 17:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";24;21;136;13,4027557;52,4729578
"137";"2. SÃ¼dwest Regionalturnier";2015-05-02 09:30:00;2015-05-02 18:00:00;"Deutschland";"66424";"Homburg";"Steinbachstr. 111";"Sportzentrum Homburg Erbach";16;16;137;7,333078;49,3463653
"138";"13. Badische Meisterschaft";2015-05-09 10:00:00;2015-05-09 19:00:00;"Deutschland";"78050";"Villingen";"Vor Haslen 4";"Jugendtreff Chilly";16;16;138;8,4577546;48,0776487
"139";"2. Kampf um die rote Stadt";2015-05-23 09:00:00;2015-05-24 16:00:00;"Deutschland";"27404";"Rotenburg (WÃ¼mme)";"Neue Str. 2";"Elsdorf OT Hatzte";12;12;139;9,1538794;53,4850297
"140";"Ligaqualifikation West [1/3]";2015-05-30 08:00:00;2015-05-30 18:00:00;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";0;6;140;7,4795869;51,367939
"141";"9. SaarlÃ¤ndische Meisterschaft";2015-05-30 09:30:00;2015-05-30 19:00:00;"Deutschland";"66424";"Homburg";"Steinbachstr. 111";"Sportzentrum Homburg Erbach";16;16;141;7,333078;49,3463653
"142";"Ligaqualifikation Nord-West";2015-06-06 09:30:00;2015-06-06 18:00:00;"Deutschland";"30167";"Hannover";"An der Graft 1";"SV Odin von 1905 e.V.";0;10;142;9,70084354260108;52,38342585
"143";"Respect Gaymes 2015";2015-06-06 10:00:00;2015-06-06 17:00:00;"Deutschland";"10437";"Berlin";"CantianstraÃe 24";"Friedrich-Ludwig-Jahn-Sportpark";0;5;143;13,4107017;52,5443748
"144";"4. Hagener Jugger Cup";2015-06-13 09:00:00;2015-06-13 18:00:00;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";16;16;144;7,4795869;51,367939
"145";"8. ThÃ¼ringer Meisterschaft";2015-06-20 08:00:00;2015-06-21 16:00:00;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";40;36;145;11,5836561;50,9180893
"146";"Holt euch die Banane! 2015";2015-06-20 09:00:00;2015-06-20 17:00:00;"Deutschland";"92237";"Sulzbach-Rosenberg";"92281 KÃ¶nigstein";"Neuhauser Str. 40";16;16;146;NA;NA
"147";"2. Deutsche Meisterschaft fÃ¼r Kinder- und Jugendmannschaften -Jugendturnier-";2015-06-26 18:00:00;2015-06-28 17:00:00;"Deutschland";"59555";"Lippstadt";"Harkortweg";"Jahnplatz";12;11;147;8,33126284098203;51,67408145
"148";"2. Deutsche Meisterschaft fÃ¼r Kinder- und Jugendmannschaften -Kinderturnier-";2015-06-26 18:00:00;2015-06-28 17:00:00;"Deutschland";"59555";"Lippstadt";"Harkortweg";"Jahnplatz";12;9;148;8,33126284098203;51,67408145
"149";"4. Berlin Masters";2015-06-27 10:00:00;2015-06-28 16:00:00;"Deutschland";"10965";"Berlin";"Columbiadamm 111";"VereinsgelÃ¤nde der Turngemeinde in Berlin 1848 e.V.";10;10;149;13,4079108;52,4826748
"150";"2. Mitteldeutsche Meisterschaft";2015-07-04 10:00:00;2015-07-05 16:00:00;"Deutschland";"06108";"Halle Saale";"PeiÃnitzstraÃe";"Sportplatz Ziegelwiese";16;12;150;11,9568511;51,4930211
"151";"Ligaqualifikation West [2/3] / 2. Ruhrpott-Pott";2015-07-04 10:00:00;2015-07-04 18:00:00;"Deutschland";"44894";"Bochum";"Everstalstr. 91";"Sportplatz EverstalstraÃe";16;11;151;7,334741;51,4928541
"152";"10. Schleswig-Holstein Meisterschaft";2015-07-11 09:00:00;2015-07-12 17:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";18;14;152;10,4401006536605;53,78423965
"153";"15. Bayerische Meisterschaft";2015-07-11 09:30:00;2015-07-12 12:00:00;"Deutschland";"92726";"Waidhaus";"An der Bahn 2";"TSV Sportplatz";20;15;153;12,4967105;49,6400456
"154";"Ligaqualifikation West [3/3]";2015-07-11 10:00:00;2015-07-12 16:30:00;"Deutschland";"36199";"Rotenburg a. d. Fulda";"Braacher Str. 18 A";"Rotenburg a. d. Fulda";16;4;154;9,7156967;51,0018995
"155";"1. Leipziger JuggernÃ¤chte";2015-07-18 10:00:00;2015-07-19 16:00:00;"Deutschland";"04279";"Leipzig";"Goethesteig 2";"Leipzig";12;10;155;12,3866982;51,2896989
"156";"2. Bamberger Jugger Turnier - Zur goldenen Pompfe";2015-07-25 08:30:00;2015-07-25 19:00:00;"Deutschland";"96050";"Bamberg";"Kloster-Langheim-StraÃe 11";"Bamberg";16;9;156;10,9125439687328;49,89873075
"157";"1. Juggerturnier am Hohen Ufer";2015-07-25 09:00:00;2015-07-26 17:00:00;"Deutschland";"30167";"Hannover";"An der Graft 1";"SV Odin von 1905 e.V.";32;22;157;9,70084354260108;52,38342585
"158";"1. Rheinland-PfÃ¤lzische Meisterschaft";2015-08-01 09:00:00;2015-08-01 19:00:00;"Deutschland";"";"Mainz";"Jahnhalle am Kaiser Friedrich Turm";"55411 Bingen";20;19;158;NA;NA
"159";"3. Bergische Meisterschaft";2015-08-01 10:00:00;2015-08-02 16:00:00;"Deutschland";"42285";"Wuppertal";"Oberbergische Strasse 91";"Wuppertal";16;14;159;7,17908785;51,2523273
"160";"2. FrÃ¤ngsche Meisterschaft";2015-08-07 16:00:00;2015-08-09 19:00:00;"Deutschland";"91056";"NÃ¼rnberg";"Karl-May-Str. 39";"TSV-Frauenaurach";20;14;160;11,0592872;49,4735212
"161";"21. Hamburger Meisterschaft";2015-08-15 10:01:00;2015-08-16 16:30:00;"Deutschland";"22303";"Hamburg";"SaarlandstraÃe";"Stadtpark KrÃ¤henwiese / Rugby GelÃ¤nde FC St. Pauli";24;21;161;10,0316818;53,5957328
"162";"7. Hessische Meisterschaft";2015-08-22 08:30:00;2015-08-22 19:30:00;"Deutschland";"64289";"Darmstadt";"Kranichsteiner StraÃe 183";"Sportplatz Ziegelbusch der TG 1875 Darmstadt";20;17;162;8,6723973;49,8899555
"163";"2. Teuto Tournament";2015-08-22 10:00:00;2015-08-23 16:00:00;"Deutschland";"33609";"Bielefeld";"Heeper Fichten";"KÃ¤figplatz an der Radrennbahn";0;8;163;8,5854349;52,0345594
"164";"3. Greifswalder Strandturnier";2015-08-22 10:00:00;2015-08-22 18:00:00;"Deutschland";"";"Greifswald";"Eldena";"Strandbad-Eldena";8;6;164;13,4477117849118;54,09675855
"165";"18. Deutsche Meisterschaft";2015-08-29 10:00:00;2015-08-30 16:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";64;61;165;13,4027557;52,4729578
"166";"GJL Playoff 2015";2015-09-05 09:00:00;2015-09-06 16:30:00;"Deutschland";"10965";"Berlin";"Columbiadamm 111";"VereinsgelÃ¤nde der Turngemeinde in Berlin 1848 e.V.";24;23;166;13,4079108;52,4826748
"167";"OJL Finals / Freiburg Cup";2015-09-19 08:00:00;2015-09-19 18:00:00;"Deutschland";"79379";"Freiburg";"Im Biefang";"Britzingen";12;9;167;7,7001351;47,8602624
"168";"11. Moshen im Park";2015-10-03 10:00:00;2015-10-03 18:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";0;6;168;10,4401006536605;53,78423965
"169";"Rotenburger Stadtklopperei -Jugendturnier-";2016-02-21 10:00:00;2016-02-21 19:00:00;"Deutschland";"36199";"Rotenburg a. d. Fulda";"Breitinger Kirchweg 16";"Rotenburg a. d. Fulda";8;8;169;9,7409885;50,9931968
"170";"1. Hallenturnier in Oldenburg";2016-03-19 10:00:00;2016-03-20 16:00:00;"Deutschland";"";"Oldenburg";"An Querkananal";"Halle am Querkanal";16;16;170;NA;NA
"171";"2. Karlsruher PÃ¶mmelturnier";2016-04-16 08:00:00;2016-04-16 19:59:00;"Deutschland";"76133";"Karlsruhe";"LÃ¤rchenallee";"Asta-Sportplatz Koordinaten: 49.016388, 8.410824";16;16;171;8,4182643;49,0192045
"172";"10. Berliner Juggerpokal";2016-04-16 09:00:00;2016-04-17 17:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";24;24;172;13,4027557;52,4729578
"173";"3. Kieler Nordderby";2016-04-23 09:00:00;2016-04-24 17:00:00;"Deutschland";"24143";"Kiel";"RÃ¶ntgenstraÃe 5";"Sportplatz des TUS Gaarden";20;19;173;10,1518678970631;54,3083559
"174";"3. SÃ¼dwest Regionalturnier";2016-05-14 08:30:00;2016-05-14 18:00:00;"Deutschland";"66424";"Homburg";"Steinbachstr. 111";"Sportzentrum Homburg Erbach";21;21;174;7,333078;49,3463653
"175";"3. Kampf um die rote Stadt";2016-05-14 09:00:00;2016-05-15 16:00:00;"Deutschland";"27404";"Rotenburg (WÃ¼mme)";"Neue Str. 2";"Elsdorf OT Hatzte";12;12;175;9,1538794;53,4850297
"176";"14. Badische Meisterschaft";2016-05-15 09:00:00;2016-05-15 18:00:00;"Deutschland";"78050";"Villingen";"Vor Haslen 4";"Jugendtreff Chilly";16;15;176;8,4577546;48,0776487
"177";"Holt euch die Banane! 2016";2016-05-28 08:00:00;2016-05-28 19:00:00;"Deutschland";"92281";"Sulzbach-Rosenberg";"Neuhauser Str. 40";"KÃ¶nigstein";16;16;177;NA;NA
"178";"2. Rheinland-PfÃ¤lzische Meisterschaft";2016-06-04 09:00:00;2016-06-05 15:00:00;"Deutschland";"";"Mainz";"Jahnhalle am Kaiser Friedrich Turm";"55411 Bingen am Rhein";24;22;178;NA;NA
"179";"3. Deutsche Meisterschaft fÃ¼r Kinder- und Jugendmannschaften -Jugendturnier-";2016-06-04 09:00:00;2016-06-05 16:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";13;13;179;10,4401006536605;53,78423965
"180";"3. Deutsche Meisterschaft fÃ¼r Kinder- und Jugendmannschaften -Kinderturnier-";2016-06-04 09:00:00;2016-06-05 16:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";12;10;180;10,4401006536605;53,78423965
"181";"3. Mitteldeutsche Meisterschaft";2016-06-11 09:00:00;2016-06-12 16:00:00;"Deutschland";"06108";"Halle Saale";"PeiÃnitzstraÃe";"Sportplatz Ziegelwiese";16;13;181;11,9568511;51,4930211
"182";"Graf-Bernhard-Pokal 2016";2016-06-11 09:00:00;2016-06-12 16:00:00;"Deutschland";"59555";"Lippstadt";"Harkortweg";"Jahnplatz";20;11;182;8,33126284098203;51,67408145
"183";"5. Berlin Masters";2016-06-11 10:00:00;2016-06-12 16:00:00;"Deutschland";"10965";"Berlin";"Columbiadamm 111";"Berlin";0;7;183;13,4079108;52,4826748
"184";"Ligaqualifikation Nord-West";2016-06-18 10:00:00;2016-06-18 20:00:00;"Deutschland";"30167";"Hannover";"An der Graft 1";"SV Odin von 1905 e.V.";0;10;184;9,70084354260108;52,38342585
"185";"9. ThÃ¼ringer Meisterschaft";2016-06-24 17:00:00;2016-06-26 17:00:00;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";24;22;185;11,5836561;50,9180893
"186";"5. Hagener Jugger Cup";2016-06-25 09:00:00;2016-06-26 18:00:00;"Deutschland";"58097";"Hagen";"Am HÃ¶ing";"Sportplatz HÃ¶ing - Rasenplatz";16;13;186;7,4795869;51,367939
"187";"4. Turnier zu MÃ¼nster";2016-07-02 09:00:00;2016-07-02 19:00:00;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";12;12;187;7,6688443;51,9068543
"188";"Respect Gaymes 2016";2016-07-02 10:00:00;2016-07-02 18:30:00;"Deutschland";"10437";"Berlin";"CantianstraÃe 24";"Friedrich-Ludwig-Jahn-Sportpark";10;7;188;13,4107017;52,5443748
"189";"2. Leipziger JuggernÃ¤chte";2016-07-08 18:00:00;2016-07-10 17:00:00;"Deutschland";"04279";"Leipzig";"Goethesteig 2";"Leipzig";16;15;189;12,3866982;51,2896989
"190";"4. Bergische Meisterschaft";2016-07-08 18:00:00;2016-07-10 16:00:00;"Deutschland";"42285";"Wuppertal";"Oberbergische Strasse 91";"Wuppertal";20;20;190;7,17908785;51,2523273
"191";"1. Flensburger Nordstern Turnier";2016-07-09 10:00:00;2016-07-10 16:00:00;"Deutschland";"24937";"Flensburg";"Westerallee 49";"Sportplatz des PSV";12;10;191;9,40726660821985;54,7819698
"192";"1. Berlin Masters der Kinder";2016-07-16 10:00:00;2016-07-16 18:00:00;"Deutschland";"10965";"Berlin";"Columbiadamm 111";"VereinsgelÃ¤nde der Turngemeinde in Berlin 1848 e.V.";8;3;192;13,4079108;52,4826748
"193";"22. Hamburger Meisterschaft";2016-07-16 10:00:00;2016-07-17 16:30:00;"Deutschland";"22303";"Hamburg";"SaarlandstraÃe";"Stadtpark KrÃ¤henwiese / Rugby GelÃ¤nde FC St. Pauli";24;22;193;10,0316818;53,5957328
"194";"16. Bayerische Meisterschaft";2016-07-23 08:00:00;2016-07-24 12:00:00;"Deutschland";"92726";"Waidhaus";"An der Bahn 3";"Waidhaus - TSV SportgelÃ¤nde";25;17;194;12,4967105;49,6400456
"195";"2. Juggerturnier am Hohen Ufer";2016-07-23 09:00:00;2016-07-24 17:00:00;"Deutschland";"30167";"Hannover";"An der Graft 1";"Hannover";32;25;195;9,70084354260108;52,38342585
"196";"3. Ruhrpott-Pott";2016-08-06 09:00:00;2016-08-06 19:00:00;"Deutschland";"44779";"Bochum";"SteinkuhlstraÃe 46";"Bochum";16;10;196;7,2423556;51,4649751
"197";"4. Greifswalder Strandturnier";2016-08-06 09:00:00;2016-08-06 18:00:00;"Deutschland";"17493";"Greifswald";"An der Klosterruine 6";"Strandbad Eldena";7;7;197;13,4531238280125;54,0892697
"198";"3. FrÃ¤ngsche Meisterschaft";2016-08-06 23:59:00;2016-08-07 00:00:00;"Deutschland";"91056";"NÃ¼rnberg";"Karl-May-StraÃe";"Erlangen - Frauenaurach";16;16;198;11,0592872;49,4735212
"199";"1. (offizieller) Lahnveilchencup";2016-08-20 09:00:00;2016-08-20 19:00:00;"Deutschland";"35463";"GieÃen";"GraudornstraÃe";"fernwald albach";16;9;199;8,8011034;50,5528322
"200";"GJL Playoff 2016";2016-08-20 09:00:00;2016-08-21 18:00:00;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";24;17;200;11,5836561;50,9180893
"201";"19. Deutsche Meisterschaft";2016-09-02 17:00:00;2016-09-04 16:00:00;"Deutschland";"92726";"Waidhaus";"An der Bahn 2";"TSV Sportplatz";64;61;201;12,4967105;49,6400456
"202";"2. Bremer Landesmeisterschaft";2016-09-10 08:00:00;2016-09-10 17:00:00;"Deutschland";"28201";"Bremen";"Weg zum KrÃ¤henberg 1";"Bremen";8;8;202;8,8223004;53,0632417
"203";"8. Hessische Meisterschaft";2016-09-17 08:00:00;2016-09-17 18:00:00;"Deutschland";"64289";"Darmstadt";"Kranichsteiner StraÃe";"Stadion im BÃ¼rgerpark";11;11;203;8,6764185;49,8939064
"204";"1. Dorfturnier RÃ¶ttenbach";2016-09-17 09:00:00;2016-09-17 17:00:00;"Deutschland";"91341";"RÃ¶ttenbach";"SchulstrÃe";"Grundschule Sportplatz";10;8;204;NA;NA
"205";"12. Moshen im Park";2016-09-17 10:00:00;2016-09-19 18:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";0;6;205;10,4401006536605;53,78423965
"206";"10. SaarlÃ¤ndische Meisterschaft";2016-09-24 08:30:00;2016-09-24 19:00:00;"Deutschland";"66424";"Homburg";"Steinbachstr. 111";"Sportzentrum Homburg Erbach";17;17;206;7,333078;49,3463653
"207";"2. Hanseatic Jugger Cup";2016-09-24 10:00:00;2016-09-25 16:00:00;"Deutschland";"23556";"LÃ¼beck";"AlexanderstraÃe 2b,";"Freibad Marli / DrÃ¤gerpark";16;14;207;10,7094442;53,8727307
"208";"3. Bamberger Jugger Turnier - Zur goldenen Pompfe";2016-10-08 09:00:00;2016-10-08 19:00:00;"Deutschland";"96050";"Bamberg";"Kloster-Langheim-StraÃe 11";"Bamberg";16;15;208;10,9125439687328;49,89873075
"209";"Juggerlabor Bochum: Kette mit 5 statt 8 Steinen-Testturnier";2016-10-09 09:00:00;2016-10-09 19:00:00;"Deutschland";"44779";"Bochum";"SteinkuhlstraÃe 46";"Bochum";16;9;209;7,2423556;51,4649751
"210";"Hallen-Turnier in Ahaus";2016-11-27 09:00:00;2016-11-27 18:00:00;"Deutschland";"48683";"Ahaus";"Hof zum Ahaus 8";"Sporthalle I Vestert";12;9;210;6,9972836;52,0811259
"211";"1. Auenlandbob";2017-01-07 09:00:00;2017-01-07 17:00:00;"Deutschland";"69121";"Heidelberg";"Dossenheimer LandstraÃe 125";"Heidelberg";12;5;211;8,6794526;49,4382046
"212";"4. GÃ¶ttinger Winterturnier";2017-01-28 09:00:00;2017-01-28 19:00:00;"Deutschland";"37073";"GÃ¶ttingen";"Theaterplatz 10";"GÃ¶ttingen";9;9;212;9,9408013;51,5363581
"213";"1. Bonner Hallenturnier";2017-02-05 08:00:00;2017-02-05 18:00:00;"Deutschland";"53119";"Bonn";"Hirschberger StraÃe";"Sporthalle im Schulzentrum Tannenbusch";10;9;213;7,04231135608501;50,75040605
"214";"Rotenburger Stadtklopperei -Jugendturnier-";2017-02-12 10:00:00;2017-02-12 19:00:00;"Deutschland";"36199";"Rotenburg a. d. Fulda";"Breitinger Kirchweg 16";"Rotenburg a. d. Fulda";8;8;214;9,7409885;50,9931968
"215";"1. Bochumer Winterturnier";2017-02-19 09:00:00;2017-02-19 20:00:00;"Deutschland";"44799";"Bochum";"MarkstraÃe 189";"Erich KÃ¤stner-Schule (Halle 1)";8;8;215;7,2555133;51,4591009
"216";"OJL Finals 2016";2017-03-04 10:00:00;2017-03-04 17:00:00;"Deutschland";"64295";"Darmstadt";"KronstÃ¤dter Weg 12";"SG Eiche Darmstadt 1951 e.V.";6;6;216;8,6232453;49,8507007
"217";"1. Rookie-Turnier in Ahaus";2017-03-05 09:00:00;2017-03-05 18:00:00;"Deutschland";"48683";"Ahaus";"Hof zum Ahaus 8";"Sporthalle I Vestert";6;5;217;6,9972836;52,0811259
